Year	Champions	ChampPoints	Runners-up	RunPoints	Third place	ThirdPoints
2016–17	Chelsea	93	Tottenham Hotspur	86	Manchester City	78
2015–16	Leicester City	81	Arsenal	71	Tottenham Hotspur	70
2014–15	Chelsea	87	Manchester City	79	Arsenal	75
2013–14	Manchester City	86	Liverpool	84	Chelsea	82
2012–13	Manchester United	89	Manchester City	78	Chelsea	75
2011–12	Manchester City	89	Manchester United	89	Arsenal	70
2010–11	Manchester United	80	Chelsea	71	Manchester City	71
2009–10	Chelsea	86	Manchester United	85	Arsenal	75
2008–09	Manchester United	90	Liverpool	86	Chelsea	83
2007–08	Manchester United	87	Chelsea	85	Arsenal	83
2006–07	Manchester United	89	Chelsea	83	Liverpool	68
2005–06	Chelsea	91	Manchester United	83	Liverpool	82
2004–05	Chelsea	95	Arsenal	83	Manchester United	77
2003–04	Arsenal	90	Chelsea	79	Manchester United	75
2002–03	Manchester United	83	Arsenal	78	Newcastle United	69
2001–02	Arsenal	87	Liverpool	80	Manchester United	77
2000–01	Manchester United	80	Arsenal	70	Liverpool	69
1999–2000	Manchester United	91	Arsenal	73	Leeds United	69
1998–99	Manchester United	79	Arsenal	78	Chelsea	75
1997–98	Arsenal	78	Manchester United	77	Liverpool	65
1996–97	Manchester United	75	Newcastle United	68	Arsenal	68
1995–96	Manchester United	82	Newcastle United	78	Liverpool	71
1994–95	Blackburn Rovers	89	Manchester United	88	Nottingham Forest	77
1993–94	Manchester United	92	Blackburn Rovers	84	Newcastle United	77
1992–93	Manchester United	84	Aston Villa	74	Norwich City	72
